,number,feature,score
17,17,roadKills,3.4031133845779263e-06
20,20,vehicleDestroys,4.776748443088373e-06
19,19,teamKills,1.1497035023670689e-05
15,15,revives,3.001240254647965e-05
0,0,assists,4.34179700794931e-05
4,4,headshotKills,4.4752414735787327e-05
3,3,DBNOs,7.138560611162318e-05
18,18,swimDistance,9.886816966677639e-05
5,5,heals,0.00016679360461606513
7,7,killPoints,0.00023116979324541912
22,22,weaponsAcquired,0.00024035077420460428
23,23,winPoints,0.00024855996610386187
40,40,matchDuration_rank,0.00025797428337551674
54,54,lobby_ct_rank,0.00027277317393697515
2,2,damageDealt,0.00029228357756917126
42,42,numGroups_rank,0.0002932551941420176
41,41,maxPlace_rank,0.00032141400132276715
27,27,damageDealt_norm,0.0003364536873617937
1,1,boosts,0.0003530880010836553
9,9,killStreaks,0.00044400357096932553
14,14,rankPoints,0.00045408988946606403
10,10,longestKill,0.0005668844482712452
13,13,numGroups,0.0005998944338669516
8,8,kills,0.0007146886313915241
56,56,damageDealt_norm_rank,0.0007374277028724393
12,12,maxPlace,0.000802643811352463
31,31,damageDealt_rank,0.000887029552243992
46,46,roadKills_rank,0.000905082147583445
36,36,killPoints_rank,0.000980495256143112
52,52,winPoints_rank,0.0010005738959213439
49,49,vehicleDestroys_rank,0.0010265117410572242
24,24,group_ct,0.0011538253498716983
43,43,rankPoints_rank,0.0012027840925371285
48,48,teamKills_rank,0.001275347202790824
47,47,swimDistance_rank,0.001378269025858376
44,44,revives_rank,0.0014317926201134772
33,33,headshotKills_rank,0.0014389752218331579
32,32,DBNOs_rank,0.00144741832511363
29,29,assists_rank,0.0015743373479651375
26,26,kills_norm,0.0016917803101079035
39,39,longestKill_rank,0.0017316115085931278
34,34,heals_rank,0.0018001303263076897
51,51,weaponsAcquired_rank,0.002121328683946486
21,21,walkDistance,0.0023449694543510586
53,53,group_ct_rank,0.002366214793219403
16,16,rideDistance,0.002415783170867419
55,55,kills_norm_rank,0.002698963961112535
11,11,matchDuration,0.0027399057119212623
37,37,kills_rank,0.0028527457540494664
45,45,rideDistance_rank,0.003221850598949424
25,25,lobby_ct,0.0034531543966603096
38,38,killStreaks_rank,0.004575363494540899
28,28,group_killPlace_avg,0.0052031907440936356
30,30,boosts_rank,0.010679335216162983
35,35,killPlace_rank,0.022442676429577
6,6,killPlace,0.02382512851405817
57,57,group_killPlace_avg_rank,0.030051408759855104
50,50,walkDistance_rank,0.8504401543874501
