,name,score
8,rank_by_group,0.05775810036194038
6,median_by_group,0.07644821682266062
7,mean_by_group,0.07724826157409252
4,max_by_group,0.07900774091118662
2,group_killPlace_avg,0.08595585328543714
5,sum_by_group,0.08862598831084008
3,kills_norm,0.08942739932464885
3,min_by_group,0.0894928768708244
4,damageDelt_norm,0.08959390076625674
1,lobby_ct,0.09016106076053859
11,kill_per_heal,0.0905314306862021
1,group_ct,0.09155839954187477
5,headshotAcc,0.0918088794507418
7,group_ct,0.09183675583806018
13,distance_per_heal,0.09207334432351087
0,original,0.09234578803008679
8,distance_per_kill,0.09263203038772573
12,heal_per_distance,0.09265988718090493
0,original,0.0926671235280336
9,kill_per_distance,0.0927382303050978
6,total_distance,0.09274573943296005
2,total_heals,0.09275299289117504
10,heal_per_kill,0.09286406210029688
