,SCORE,,,,
name,All,Solo,Duo,Squad,Other
rank_by_group,0.05776,0.05273,0.05294,0.05934,0.07059
median_by_group,0.07645,0.07282,0.06686,0.07526,0.08460
mean_by_group,0.07725,0.07319,0.06685,0.07435,0.08452
max_by_group,0.07901,0.07244,0.06792,0.07422,0.08160
group_killPlace_avg,0.08596,0.07349,0.07476,0.08736,0.09190
sum_by_group,0.08863,0.07192,0.07472,0.08793,0.09753
kills_norm,0.08943,0.07021,0.07861,0.09746,0.09813
min_by_group,0.08949,0.07219,0.07708,0.09514,0.10492
damageDelt_norm,0.08959,0.07098,0.07858,0.09760,0.10401
lobby_ct,0.09016,0.07294,0.07906,0.09779,0.10116
kill_per_heal,0.09053,0.07309,0.07658,0.09604,0.10301
group_ct,0.09156,0.07156,0.07907,0.09717,0.10599
group_ct,0.09156,0.07264,0.07907,0.09717,0.10599
headshotAcc,0.09181,0.07272,0.07821,0.09719,0.10024
distance_per_heal,0.09207,0.07280,0.07872,0.09838,0.10539
original,0.09235,0.07303,0.07890,0.09778,0.09829
original,0.09235,0.07350,0.07890,0.09778,0.09829
distance_per_kill,0.09263,0.07238,0.07887,0.09880,0.09789
heal_per_distance,0.09266,0.07333,0.07951,0.09832,0.10019
kill_per_distance,0.09274,0.07320,0.07912,0.09875,0.09678
total_distance,0.09275,0.07309,0.07914,0.09840,0.10112
total_heals,0.09275,0.07399,0.07887,0.09841,0.09676
heal_per_kill,0.09286,0.07248,0.07950,0.09840,0.10264
